epaid,sample_id,date,county,zipcode,probable_cases,vaccine_equity,pop_fully_vaccinated,pop_part_vaccinated,population_served,sample_matrix,pcr_type,pcr_target_avg_conc
CA0109991,LASAN_Hyp442030.041,2021-01-12,Los Angeles,90293,3783,4,0,0,4000000,raw wastewater,ddpcr,217074
CA0109991,LASAN_Hyp442080.041,2021-01-12,Los Angeles,90293,3783,4,0,0,4000000,raw wastewater,ddpcr,244530
CA0109991,LASAN_Hyp442080.041,2021-01-12,Los Angeles,90293,3783,4,0,0,4000000,raw wastewater,ddpcr,266838
CA0109991,LASAN_Hyp442030.041,2021-01-12,Los Angeles,90293,3783,4,0,0,4000000,raw wastewater,ddpcr,281138
CA0109991,LASAN_Hyp442060.041,2021-01-12,Los Angeles,90293,3783,4,0,0,4000000,raw wastewater,ddpcr,729300
CA0109991,LASAN_Hyp442060.041,2021-01-12,Los Angeles,90293,3783,4,0,0,4000000,raw wastewater,ddpcr,757900
CA0077682,SAC900046,2021-01-12,Sacramento,95758,118,3,0.000319,0.020969,1480000,primary sludge,ddpcr,56386
CA0077682,SAC900034,2021-01-12,Sacramento,95758,118,3,0.000319,0.020969,1480000,primary sludge,ddpcr,84253
CA0077682,SAC9000016,2021-01-12,Sacramento,95758,118,3,0.000319,0.020969,1480000,primary sludge,ddpcr,106823
CA0077682,SAC900040,2021-01-12,Sacramento,95758,118,3,0.000319,0.020969,1480000,primary sludge,ddpcr,123836
CA0077682,SAC900004,2021-01-12,Sacramento,95758,118,3,0.000319,0.020969,1480000,primary sludge,ddpcr,132262
CA0077682,SAC900003,2021-01-12,Sacramento,95758,118,3,0.000319,0.020969,1480000,primary sludge,ddpcr,154846
CA0077682,SAC900008,2021-01-12,Sacramento,95758,118,3,0.000319,0.020969,1480000,primary sludge,ddpcr,288281
CA0107409,SDPU_PtLom442070,2021-01-12,San Diego,92106,1104,4,0,0,2200000,raw wastewater,ddpcr,165880
CA0107409,SDPU_PtLom442020,2021-01-12,San Diego,92106,1104,4,0,0,2200000,raw wastewater,ddpcr,183326
CA0107409,SDPU_PtLom442070,2021-01-12,San Diego,92106,1104,4,0,0,2200000,raw wastewater,ddpcr,205634
CA0107409,SDPU_PtLom442020,2021-01-12,San Diego,92106,1104,4,0,0,2200000,raw wastewater,ddpcr,253396
CA0037681,OSP700075,2021-01-12,San Francisco,94132,151,3,0,0,250000,primary sludge,ddpcr,10762
CA0037681,OSP700086,2021-01-12,San Francisco,94132,151,3,0,0,250000,primary sludge,ddpcr,15976
CA0037681,OSP700082,2021-01-12,San Francisco,94132,151,3,0,0,250000,primary sludge,ddpcr,25687
CA0037681,OSP700006,2021-01-12,San Francisco,94132,151,3,0,0,250000,primary sludge,ddpcr,34164
CA0037681,OSP700076,2021-01-12,San Francisco,94132,151,3,0,0,250000,primary sludge,ddpcr,49535
CA0037681,OSP700077,2021-01-12,San Francisco,94132,151,3,0,0,250000,primary sludge,ddpcr,50465
CA0037681,OSP700069,2021-01-12,San Francisco,94132,151,3,0,0,250000,primary sludge,ddpcr,50679
CA0038369,SVCW800068,2021-01-12,San Mateo,94065,43,4,0,0,199000,primary sludge,ddpcr,176361
CA0038369,SVCW800091,2021-01-12,San Mateo,94065,43,4,0,0,199000,primary sludge,ddpcr,216373
CA0038369,SVCW800089,2021-01-12,San Mateo,94065,43,4,0,0,199000,primary sludge,ddpcr,278959
CA0038369,SVCW800084,2021-01-12,San Mateo,94065,43,4,0,0,199000,primary sludge,ddpcr,403851
CA0038369,SVCW800064,2021-01-12,San Mateo,94065,43,4,0,0,199000,primary sludge,ddpcr,430730
CA0038369,SVCW800063,2021-01-12,San Mateo,94065,43,4,0,0,199000,primary sludge,ddpcr,753557
CA0038369,SVCW800062,2021-01-12,San Mateo,94065,43,4,0,0,199000,primary sludge,ddpcr,3422358
CA0037834,PA100177,2021-01-12,Santa Clara,94303,55,3,0.000228,0.015339,236000,primary sludge,ddpcr,44519
CA0037834,PA100181,2021-01-12,Santa Clara,94303,55,3,0.000228,0.015339,236000,primary sludge,ddpcr,45828
CA0037834,PA100139,2021-01-12,Santa Clara,94303,55,3,0.000228,0.015339,236000,primary sludge,ddpcr,70870
CA0037834,PA100153,2021-01-12,Santa Clara,94303,55,3,0.000228,0.015339,236000,primary sludge,ddpcr,90579
CA0037834,PA100154,2021-01-12,Santa Clara,94303,55,3,0.000228,0.015339,236000,primary sludge,ddpcr,146841
CA0037834,PA100141,2021-01-12,Santa Clara,94303,55,3,0.000228,0.015339,236000,primary sludge,ddpcr,169225
CA0037834,PA100148,2021-01-12,Santa Clara,94303,55,3,0.000228,0.015339,236000,primary sludge,ddpcr,182263
CA0049964,G600044,2021-01-12,Santa Clara,95020,55,3,0.000293,0.020221,110338,raw wastewater,ddpcr,183317
CA0049964,G600040,2021-01-12,Santa Clara,95020,55,3,0.000293,0.020221,110338,raw wastewater,ddpcr,184808
CA0049964,G600041,2021-01-12,Santa Clara,95020,55,3,0.000293,0.020221,110338,raw wastewater,ddpcr,191053
CA0049964,G600039,2021-01-12,Santa Clara,95020,55,3,0.000293,0.020221,110338,raw wastewater,ddpcr,275814
CA0049964,G600042,2021-01-12,Santa Clara,95020,55,3,0.000293,0.020221,110338,raw wastewater,ddpcr,296193
CA0049964,G600045,2021-01-12,Santa Clara,95020,55,3,0.000293,0.020221,110338,raw wastewater,ddpcr,467239
CA0049964,G600043,2021-01-12,Santa Clara,95020,55,3,0.000293,0.020221,110338,raw wastewater,ddpcr,2406337
CA0037621,S210109,2021-01-12,Santa Clara,94089,55,4,0,0,153000,primary sludge,ddpcr,26850
CA0037621,S20210106,2021-01-12,Santa Clara,94089,55,4,0,0,153000,primary sludge,ddpcr,32926
CA0037621,S20210108,2021-01-12,Santa Clara,94089,55,4,0,0,153000,primary sludge,ddpcr,37281
CA0037621,SWW21JAN10-03-001A,2021-01-12,Santa Clara,94089,55,4,0,0,153000,primary sludge,ddpcr,42467
CA0037621,S210112,2021-01-12,Santa Clara,94089,55,4,0,0,153000,primary sludge,ddpcr,101699
CA0037842,SJ200028,2021-01-12,Santa Clara,95134,55,4,0,0,1500000,primary sludge,ddpcr,118093
CA0037621,S210111,2021-01-12,Santa Clara,94089,55,4,0,0,153000,primary sludge,ddpcr,142559
CA0037842,SJ200059,2021-01-12,Santa Clara,95134,55,4,0,0,1500000,primary sludge,ddpcr,221031
CA0037621,S20210107,2021-01-12,Santa Clara,94089,55,4,0,0,153000,primary sludge,ddpcr,226915
CA0037842,SJ200054,2021-01-12,Santa Clara,95134,55,4,0,0,1500000,primary sludge,ddpcr,269882
CA0037842,SJ200031,2021-01-12,Santa Clara,95134,55,4,0,0,1500000,primary sludge,ddpcr,332509
CA0037842,SJ200060,2021-01-12,Santa Clara,95134,55,4,0,0,1500000,primary sludge,ddpcr,334480
CA0037842,SJ200035,2021-01-12,Santa Clara,95134,55,4,0,0,1500000,primary sludge,ddpcr,383578
CA0037842,SJ200005,2021-01-12,Santa Clara,95134,55,4,0,0,1500000,primary sludge,ddpcr,416282
CA0079049,D300049,2021-01-12,Yolo,95776,9,3,0,0,70717,primary sludge,ddpcr,24569
CA0079049,D300078,2021-01-12,Yolo,95776,9,3,0,0,70717,primary sludge,ddpcr,59087
CA0079049,D300087,2021-01-12,Yolo,95776,9,3,0,0,70717,primary sludge,ddpcr,99443
CA0079049,D300075,2021-01-12,Yolo,95776,9,3,0,0,70717,primary sludge,ddpcr,105579
CA0079049,D300036,2021-01-12,Yolo,95776,9,3,0,0,70717,primary sludge,ddpcr,106112
CA0079049,D300084,2021-01-12,Yolo,95776,9,3,0,0,70717,primary sludge,ddpcr,124817
CA0079049,D300050,2021-01-12,Yolo,95776,9,3,0,0,70717,primary sludge,ddpcr,4459145
CA0109991,LASAN_Hyp442150.041,2021-01-19,Los Angeles,90293,2351,4,0.006992,0.027184,4000000,raw wastewater,ddpcr,94380
CA0109991,LASAN_Hyp442140.041,2021-01-19,Los Angeles,90293,2351,4,0.006992,0.027184,4000000,raw wastewater,ddpcr,100100
CA0109991,LASAN_Hyp442140.041,2021-01-19,Los Angeles,90293,2351,4,0.006992,0.027184,4000000,raw wastewater,ddpcr,135850
CA0109991,LASAN_Hyp442150.041,2021-01-19,Los Angeles,90293,2351,4,0.006992,0.027184,4000000,raw wastewater,ddpcr,159016
CA0109991,LASAN_Hyp442100.041,2021-01-19,Los Angeles,90293,2351,4,0.006992,0.027184,4000000,raw wastewater,ddpcr,226226
